trial_id,user_id,q0,q1,q2,q3,q4
1,777,-3,-3,-2,-2,-3
2,777,-2,-2,-1,0,1
3,777,-3,-3,-3,-3,-2
4,777,1,0,-1,-2,-3
5,777,3,2,1,0,-1
6,777,-3,-3,-2,-2,-1
7,777,0,0,0,0,0
8,777,-3,-2,-3,-2,-3
9,777,-2,-2,-1,-2,-3
10,777,-3,0,0,-1,-1
11,777,-2,-2,-1,-2,-3
12,777,0,0,0,0,0
13,777,2,2,2,2,2
14,777,-1,-1,-1,0,0
15,777,-3,-3,-3,-3,-3
16,777,3,3,3,3,3
17,777,-3,-2,-1,0,1
18,777,-3,-2,-1,0,1
1,666,1,1,1,1,1
2,666,3,3,3,3,3
3,666,2,2,2,2,2
4,666,0,0,0,0,0
5,666,2,2,2,2,2
6,666,3,3,3,3,3
7,666,2,2,2,2,2
8,666,3,3,3,3,3
9,666,1,1,1,1,1
1,7774,-3,-3,-3,-3,-3
2,7774,-2,-2,-2,-2,-2
3,7774,-1,-1,-1,-1,-1
4,7774,0,0,0,0,0
5,7774,1,1,1,1,1
6,7774,2,2,2,2,2
7,7774,3,3,3,3,3
8,7774,-3,-3,-3,-3,-3
9,7774,-2,-2,-2,-2,-2
